,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
21,1991-2023,Albert Portas,102287,34.2,ESP,188.0,R,20.0,1350.0,199,0.005025125628140704,643.2160804020101,340,142,0.4176470588235294,4,1,0.25,0,0,0,0,1,1,1,0,2,0,0,0.3562773910801753,0.31606084042278937,0.7004382572828048,0.25140809011776755,0.5726964848767955,0.67910549211528,0.4643345176277672,0.2912898619704902,0.5166619731531024,0.6136712749615976,0.6888373292085589,0.4096787651230705,0.5651197604790419,0.4528301886792453,0,,12,0.3333333333333333,26,0.38461538461538464,59,0.2711864406779661,133,0.2857142857142857,250,0.352,336,335,81.46176470588236,848.8,832,830,92.75223880597015,37.436144578313254
22,1991-2023,Albert Ramos,105077,35.5,ESP,188.0,L,17.0,2180.0,319,0.012539184952978056,716.3009404388715,595,277,0.46554621848739497,12,4,0.3333333333333333,0,0,0,0,1,0,0,0,11,4,0,0.271721084670725,0.20171555063641394,0.761759822910902,0.22962049595835046,0.6239855916940353,0.6759822065265374,0.5159472557195988,0.2960455879813504,0.5009304871373836,0.5678860117824359,0.612202545655783,0.4043425814234017,0.6108474576271187,0.403921568627451,5,0.2,26,0.07692307692307693,56,0.14285714285714285,117,0.20512820512820512,260,0.3076923076923077,466,0.3927038626609442,592,575,75.48993288590604,1386.256711409396,1513,1462,116.89739130434782,45.975376196990425
23,1991-2023,Alberto Berasategui,102238,27.0,ESP,173.0,R,7.0,2532.0,208,0.0673076923076923,591.3461538461538,477,278,0.5828092243186582,23,14,0.6086956521739131,1,0,0,0,0,0,2,1,20,13,0,0.1410494975809453,0.2355787123185709,0.7179010048381094,0.32413278627377845,0.7368227576066055,0.6316920597152397,0.4879123240571613,0.3358799330952489,0.5631010938991263,0.7327489742633346,0.6732415333085225,0.4423517434461695,0.5809839690436706,0.5133333333333333,1,0.0,15,0.4,39,0.28205128205128205,80,0.2625,191,0.450261780104712,355,0.5549295774647888,468,457,82.17154811715481,849.673640167364,1150,1109,86.83369803063458,35.78268710550045
24,1991-2023,Alberto Mancini,101606,24.8,ARG,180.0,R,12.0,1454.0,65,0.0,669.2307692307693,136,67,0.49264705882352944,5,0,0.0,0,0,0,0,2,0,1,0,2,0,0,0.24348422496570646,0.17352537722908093,0.7462277091906722,0.23433242506811988,0.6313493300093487,0.6702862783810464,0.5116934347703579,0.29740932642487045,0.5086047127349749,0.5606267029972752,0.6323731138545954,0.41798298906439857,0.5986984815618221,0.56,1,0.0,6,0.16666666666666666,14,0.2857142857142857,34,0.3235294117647059,62,0.3709677419354839,103,0.4368932038834951,123,119,75.86861313868613,809.5401459854014,311,296,105.75630252100841,42.516891891891895
25,1991-2023,Alberto Martin,103252,31.7,ESP,175.0,R,34.0,1008.0,270,0.011111111111111112,671.2962962962963,487,218,0.44763860369609854,5,3,0.6,0,0,0,0,0,0,0,0,5,3,0,0.18036109064112013,0.3023212969786293,0.7021002210759028,0.2563209967020887,0.6113028228771851,0.654266148436054,0.49104933779653615,0.31341859133422406,0.508065079254242,0.611945767680469,0.6967575534266764,0.4188622754491018,0.5724484399788472,0.5102040816326531,3,0.3333333333333333,18,0.16666666666666666,49,0.10204081632653061,93,0.23655913978494625,199,0.3015075376884422,381,0.3884514435695538,482,482,79.60450819672131,931.860655737705,1177,1180,97.23236514522821,39.71694915254237
26,1991-2023,Aldin Setkic,105060,25.1,BIH,193.0,R,165.0,321.0,3,0.0,250.0,15,8,0.5333333333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.5666666666666667,0.03225806451612903,0.6508620689655172,0.5562913907284768,0.4691358024691358,0.1724137931034483,0.39655172413793105,0.1935483870967742,1.1666666666666667,0.16666666666666666,0.6285714285714286,1.0,0,,0,,0,,0,,0,,2,0.0,3,3,515.6,232.46666666666667,7,7,88.66666666666667,38.0
27,1991-2023,Alejandro Aramburu,101574,30.1,PER,175.0,R,208.0,198.0,2,0.0,1125.0,24,11,0.4583333333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.041666666666666664,0.5416666666666667,0.13043478260869565,0.8734939759036144,0.496551724137931,0.5714285714285714,0.2111111111111111,0.5283018867924528,0.391304347826087,1.0416666666666667,0.3333333333333333,0.56,0.5,0,,0,,1,0.0,1,0.0,2,0.0,3,0.0,2,2,352.0416666666667,206.25,5,5,90.0,36.0
28,1991-2023,Alejandro Davidovich Fokina,200221,24.1,ESP,183.0,R,24.0,1723.0,86,0.0,808.1395348837209,174,86,0.4942528735632184,1,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.20225733634311513,0.2054176072234763,0.7395033860045146,0.2592093441150045,0.6709068526877309,0.6557594291539246,0.506857855361596,0.3136903428187318,0.5136641495864797,0.6347708894878706,0.6257336343115124,0.4083510261854211,0.5836940836940837,0.45121951219512196,3,0.3333333333333333,9,0.1111111111111111,25,0.16,48,0.25,95,0.35789473684210527,147,0.46258503401360546,171,167,67.22413793103448,1800.5,467,453,121.02395209580838,44.615894039735096
29,1991-2023,Alejandro Falla,104268,33.2,COL,185.0,L,51.0,869.0,159,0.0,811.3207547169811,283,114,0.4028268551236749,2,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.27596247169200905,0.22096408929149142,0.7165965706890973,0.22197381028425422,0.5927186621281634,0.6672492717436538,0.4934593023255814,0.2864891930234499,0.49784030605948415,0.5471095496646439,0.6628922678744743,0.4057209573847052,0.5724743777452416,0.4358974358974359,4,0.0,11,0.0,30,0.13333333333333333,57,0.22807017543859648,128,0.2890625,209,0.33014354066985646,256,250,108.28975265017668,1241.6148409893992,662,644,102.588,39.82453416149068
30,1991-2023,Alejandro Gonzalez,105292,29.9,COL,190.0,R,74.0,723.0,34,0.0,720.5882352941177,61,18,0.29508196721311475,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3104,0.2208,0.6639999999999999,0.18700475435816163,0.6028985507246377,0.6466346153846154,0.46715328467153283,0.27008834665544806,0.484375,0.4896988906497623,0.728,0.3818770226537217,0.5384615384615384,0.42857142857142855,0,,4,0.0,6,0.0,9,0.1111111111111111,24,0.20833333333333334,36,0.2222222222222222,54,52,118.1639344262295,1190.622950819672,137,131,98.34615384615384,39.038167938931295
