,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
287,1990-2021,Daniil Medvedev,106421,25.7,RUS,198.0,R,2.0,10620.0,109,0.11926605504587157,878.440366972477,320,222,0.69375,22,13,0.5909090909090909,3,1,2,1,6,4,3,1,8,6,0,0.6685833768949294,0.27234709879769997,0.8324621014113958,0.26564129301355577,0.601097972972973,0.7531965715891528,0.52159644293881,0.3052028390961776,0.5372764490411549,0.6303441084462982,0.443282801881861,0.4214226633581472,0.6220518867924528,0.5818181818181818,8,0.5,28,0.35714285714285715,50,0.52,91,0.5934065934065934,186,0.6129032258064516,268,0.6716417910447762,313,312,62.02492211838006,1977.5576323987539,817,815,103.8173076923077,39.74355828220859
288,1990-2021,Danilo Marcelino,101237,26.6,BRA,193.0,R,91.0,404.0,32,0.0,437.5,51,17,0.3333333333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3348314606741573,0.25617977528089886,0.7303370786516854,0.17727272727272728,0.575962187711006,0.686400937866354,0.47929936305732485,0.28579676674364896,0.45716945996275604,0.49772727272727274,0.6426966292134831,0.3561643835616438,0.5804195804195804,0.4090909090909091,0,,0,,1,0.0,4,0.75,11,0.45454545454545453,21,0.38095238095238093,40,40,126.82352941176471,381.8235294117647,92,92,86.35,37.54347826086956
289,1990-2021,Danilo Petrovic,105905,28.7,SRB,203.0,R,157.0,470.0,3,0.0,250.0,5,2,0.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.6041666666666666,0.4583333333333333,0.6041666666666667,0.30612244897959184,0.6136986301369863,0.6383928571428571,0.3900709219858156,0.3627450980392157,0.5,0.6938775510204082,1.2708333333333333,0.4411764705882353,0.6885245901639344,1.0,0,,0,,0,,0,,1,0.0,3,0.6666666666666666,5,5,87.2,817.8,11,11,94.0,42.72727272727273
290,1990-2021,Danny Sapsford,101591,30.2,GBR,173.0,R,181.0,223.0,31,0.0,709.6774193548387,50,18,0.36,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2033195020746888,0.23443983402489627,0.6887966804979253,0.21181262729124237,0.5502828409805154,0.6636207881210737,0.48846960167714887,0.2631578947368421,0.5200845665961945,0.5519348268839104,0.7053941908713693,0.3837638376383764,0.5588235294117647,0.4166666666666667,1,0.0,2,0.0,6,0.0,7,0.0,14,0.07142857142857142,25,0.12,42,42,128.94,733.74,108,108,92.02380952380952,35.78703703703704
291,1990-2021,Darian King,105985,29.3,BAR,188.0,R,114.0,523.0,9,0.0,861.1111111111111,43,27,0.627906976744186,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.1510204081632653,0.22448979591836735,0.6938775510204082,0.32,0.6444444444444445,0.6293103448275862,0.5069444444444444,0.34332688588007737,0.5441176470588235,0.78,0.7183673469387755,0.41025641025641024,0.5738636363636364,0.6,0,,0,,1,0.0,3,0.0,5,0.2,9,0.2222222222222222,23,22,314.95348837209303,482.9767441860465,56,54,99.81818181818181,40.666666666666664
292,1990-2021,Darren Cahill,101190,28.7,AUS,185.0,R,33.0,823.0,35,0.02857142857142857,885.7142857142857,79,42,0.5316455696202531,2,1,0.5,0,0,0,0,0,0,0,0,2,1,0,0.2847682119205298,0.2251655629139073,0.7880794701986755,0.23059866962305986,0.5981087470449172,0.709768492377188,0.49495798319327733,0.2874354561101549,0.5107851596203624,0.565410199556541,0.5342163355408388,0.40784313725490196,0.6033057851239669,0.4827586206896552,2,0.0,9,0.1111111111111111,14,0.21428571428571427,22,0.36363636363636365,39,0.41025641025641024,63,0.5238095238095238,35,32,66.2375,815.2,95,81,92.5625,36.5679012345679
293,1990-2021,Dave Randall,101348,26.7,USA,183.0,R,170.0,241.0,12,0.0,833.3333333333334,22,10,0.45454545454545453,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.4225352112676056,0.23591549295774647,0.7147887323943662,0.21631205673758866,0.5660474716202271,0.690975387420237,0.4625445897740785,0.2935540069686411,0.5129251700680272,0.574468085106383,0.6936619718309859,0.3765432098765432,0.5888324873096447,0.6,0,,1,0.0,1,0.0,3,0.6666666666666666,7,0.42857142857142855,15,0.4666666666666667,22,19,125.77272727272727,654.7272727272727,60,50,102.78947368421052,39.06
294,1990-2021,David Adams,101682,25.5,RSA,188.0,R,144.0,310.0,21,0.0,369.04761904761904,30,9,0.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3711340206185567,0.2920962199312715,0.7079037800687284,0.16333333333333333,0.5164948453608248,0.717564870259481,0.4488272921108742,0.25625,0.48293963254593175,0.44666666666666666,0.6494845360824743,0.3656716417910448,0.5502645502645502,0.375,0,,0,,0,,2,0.0,5,0.2,13,0.23076923076923078,29,28,104.86666666666666,475.3,64,61,83.10714285714286,38.14754098360656
295,1990-2021,David Caldwell,102410,24.1,USA,180.0,R,181.0,254.0,9,0.0,1000.0,11,2,0.18181818181818182,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.06766917293233082,0.3533834586466165,0.5789473684210527,0.17037037037037037,0.6938073394495413,0.5669421487603306,0.42696629213483145,0.25260960334029225,0.48872180451127817,0.5185185185185185,0.849624060150376,0.32857142857142857,0.504424778761062,1.0,0,,0,,0,,0,,3,0.0,8,0.25,11,11,80.54545454545455,687.2727272727273,30,30,90.72727272727273,33.266666666666666
296,1990-2021,David Dilucia,101687,28.2,USA,173.0,R,278.0,143.0,18,0.0,666.6666666666666,24,6,0.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3973509933774834,0.3675496688741722,0.7185430463576159,0.13486842105263158,0.5890478539713863,0.6850921273031826,0.453781512605042,0.22670250896057348,0.46633416458852867,0.39473684210526316,0.6887417218543046,0.3416666666666667,0.5913461538461539,0.4,0,,3,0.0,4,0.0,4,0.0,5,0.0,14,0.21428571428571427,24,23,103.29166666666667,817.875,63,58,101.56521739130434,40.275862068965516
